price,bid1_vol,bid2_vol,bid3_vol,bid4_vol,bid5_vol,ask1_vol,ask2_vol,ask3_vol,ask4_vol,ask5_vol,label
1.08176,0.976,2.274,2.578,4.851,4.234,3.443,0.556,2.197,3.695,1.569,1
1.08169,0.547,4.962,4.098,1.43,3.272,1.807,2.192,2.929,1.842,2.018,1
1.08166,2.265,3.5,1.654,1.4,3.791,1.982,4.753,3.033,3.757,1.992,1
1.08168,1.134,0.925,3.55,3.687,1.309,2.31,4.266,3.167,0.905,1.52,1
1.08165,1.207,1.058,2.331,0.827,4.643,2.422,2.802,3.413,3.951,4.195,1
1.08161,2.355,0.569,2.303,3.649,4.919,4.054,3.471,3.239,0.583,1.99,1
1.08164,2.04,3.428,0.978,2.199,2.792,4.048,4.213,3.251,1.213,3.949,1
1.08171,2.087,2.752,1.138,3.71,4.941,2.822,3.719,4.26,1.387,4.752,1
1.08166,3.322,1.391,0.875,1.601,3.094,3.637,1.981,4.681,2.125,2.584,1
1.08179,1.11,4.568,2.945,3.023,3.022,1.69,4.592,4.965,4.179,3.207,1
1.08191,1.052,4.211,1.799,4.537,1.584,3.081,4.238,1.335,2.965,0.843,0
1.08195,4.942,4.728,3.463,1.884,3.521,3.82,2.217,3.164,4.117,0.574,1
1.08196,1.398,2.606,1.143,2.239,3.063,1.282,2.839,1.686,3.056,1.994,0
1.08195,3.519,1.151,4.817,3.2,2.615,2.351,3.307,3.602,3.911,3.883,0
1.08193,2.686,4.976,4.272,4.348,2.341,2.453,3.047,4.574,2.867,2.863,1
1.08181,1.943,0.746,3.765,4.551,3.794,3.189,3.883,1.871,3.17,0.814,1
1.08186,1.06,2.511,2.762,2.285,0.734,3.627,2.868,1.576,1.878,2.28,1
1.08187,4.601,4.849,3.496,4.399,2.396,4.124,1.498,3.86,3.051,4.565,1
1.08189,0.944,4.066,1.057,2.919,4.779,0.503,1.598,1.847,1.961,0.782,1
1.08199,2.288,2.104,3.135,0.707,0.64,4.543,1.885,2.743,4.703,4.898,0
1.08191,2.627,1.429,1.829,4.652,4.536,1.38,4.271,2.094,2.626,1.273,0
1.08207,1.409,3.346,1.362,4.461,0.725,0.977,3.766,1.908,4.551,4.413,0
1.08192,3.709,1.107,3.632,4.72,2.503,0.855,1.505,1.882,3.697,1.384,0
1.08194,3.491,4.057,2.176,3.479,4.48,3.155,1.53,1.854,4.67,3.502,0
1.08198,1.746,3.38,0.905,4.924,2.482,2.877,2.889,0.704,3.199,1.78,0
1.08198,0.892,1.783,3.901,1.607,1.756,2.966,1.339,4.537,4.945,0.651,0
1.0821,2.577,3.878,2.231,4.682,2.75,1.31,3.002,3.402,2.118,3.462,0
1.08212,2.775,4.304,3.579,2.842,4.782,1.283,4.008,1.243,3.236,1.559,0
1.08204,2.482,3.979,4.04,4.06,1.562,2.701,1.496,3.11,2.745,0.659,0
1.08196,3.077,4.428,1.31,1.183,0.58,2.732,2.456,2.488,1.683,4.093,0
1.0819,0.826,4.583,3.06,2.945,4.062,1.571,1.158,1.9,0.69,1.915,1
1.08184,1.691,3.149,0.898,4.193,1.272,1.647,1.219,3.608,4.239,4.04,1
1.08179,0.775,2.348,2.14,1.474,4.867,0.69,2.703,3.926,4.938,1.151,1
1.08168,0.677,1.583,4.505,1.137,2.268,1.841,2.41,0.844,0.654,4.983,1
1.08171,3.935,3.803,1.534,1.639,2.983,1.588,2.577,4.696,2.138,2.017,1
1.0818,0.679,2.314,3.424,0.763,2.044,3.626,4.39,3.158,4.489,2.582,1
1.08179,2.268,4.294,2.215,4.016,1.469,2.063,1.326,2.973,1.237,1.416,1
1.08181,1.888,2.512,4.97,3.556,4.382,1.421,2.223,0.828,3.611,2.133,1
1.08188,1.735,0.584,1.319,1.681,2.268,4.656,3.718,1.709,2.125,1.191,1
1.08193,3.946,3.756,4.582,0.592,1.949,2.23,0.874,4.471,1.964,3.968,1
1.08191,2.837,0.747,2.273,1.572,0.684,1.179,3.179,0.643,1.905,2.408,1
1.08188,3.68,1.672,3.765,3.498,1.162,1.422,1.762,3.707,2.324,2.239,1
1.08187,4.397,1.517,1.814,2.052,1.471,0.683,0.61,3.337,3.047,4.139,1
1.08192,3.517,4.636,1.473,3.601,3.5,4.798,4.408,1.556,3.346,0.905,1
1.08191,2.425,2.266,0.77,2.225,1.977,2.737,1.759,1.214,2.311,2.638,1
1.08196,1.579,0.919,2.038,2.4,1.179,3.122,3.656,2.989,3.651,0.604,1
1.08204,2.261,2.139,0.783,2.32,0.746,2.73,3.136,2.61,1.965,1.64,1
1.0821,4.513,3.046,1.679,3.506,1.337,2.612,3.269,4.796,2.132,3.093,1
1.08211,4.741,3.972,3.323,3.294,2.349,2.37,1.743,4.233,4.459,2.218,0
1.08213,1.111,2.782,1.889,2.122,4.896,1.174,1.366,1.528,3.561,1.555,0
1.08212,0.504,2.947,2.273,1.577,2.721,3.426,2.967,3.31,3.023,4.24,0
1.08217,2.06,4.488,1.91,3.722,3.629,3.589,4.838,4.21,1.218,3.297,0
1.08216,2.708,3.037,2.163,1.786,3.87,2.903,1.567,1.622,1.962,1.3,0
1.08213,0.785,0.809,0.96,3.671,1.007,2.532,3.974,2.663,1.232,4.398,0
1.08213,4.414,0.74,1.643,2.784,4.084,2.265,3.722,1.633,3.721,1.971,0
1.08207,4.292,4.228,3.054,2.393,3.681,3.303,4.24,4.106,1.063,2.196,0
1.08217,3.512,1.54,1.331,0.562,3.135,4.735,4.867,1.102,3.594,2.387,0
1.08212,4.7,4.95,0.719,3.71,1.033,0.691,1.787,3.791,4.971,1.041,0
1.08207,1.985,0.619,2.942,2.674,2.18,1.891,4.102,4.274,1.777,2.263,0
1.08199,4.914,2.252,3.623,2.957,4.101,1.161,1.288,0.982,4.701,1.631,0
1.08192,2.697,1.042,1.956,0.587,3.047,1.146,3.314,1.733,1.524,2.67,1
1.08188,0.731,0.79,4.517,1.892,0.853,1.321,2.675,4.987,1.41,4.403,0
1.08192,2.679,2.366,4.132,2.282,0.759,2.977,3.456,3.304,1.747,4.725,0
1.08206,2.494,4.252,3.762,1.291,0.621,1.26,1.034,0.836,2.115,3.891,0
1.0819,1.895,2.814,0.547,1.446,4.817,0.55,2.873,4.146,4.065,3.809,0
1.08181,4.224,3.955,4.937,0.954,4.777,2.31,3.674,1.627,4.593,0.606,1
1.08188,3.096,1.523,2.248,2.162,3.456,4.148,2.141,3.371,2.093,1.756,0
1.08192,0.924,2.007,3.837,1.451,3.844,2.958,3.561,1.298,0.976,1.143,0
1.08189,2.077,2.438,0.542,2.762,2.315,1.947,2.917,4.785,1.421,4.462,0
1.08185,0.988,4.944,2.435,4.832,1.488,2.337,3.677,1.3,1.73,3.547,0
1.08194,4.765,1.95,1.325,2.107,4.953,1.167,3.356,2.202,3.397,1.455,0
1.08184,4.354,3.329,2.772,3.055,1.014,4.269,3.604,2.539,3.495,2.387,0
1.08175,2.231,1.535,3.203,3.077,2.819,0.645,3.323,2.511,3.17,3.176,1
1.08179,2.609,4.968,3.821,1.908,3.815,4.952,2.309,4.404,1.07,4.955,1
1.08177,2.71,1.554,4.281,3.422,4.72,4.232,4.09,2.802,4.972,0.792,1
1.08184,1.628,4.132,2.543,2.913,4.395,1.382,1.758,3.397,0.831,2.997,1
1.08177,4.042,2.708,1.588,4.1,4.348,3.969,2.972,4.576,4.085,1.183,1
1.08175,0.666,2.056,4.392,4.252,1.028,1.318,2.249,4.321,3.277,4.558,1
1.08177,0.823,4.945,1.43,3.331,4.445,3.774,1.387,3.508,2.438,0.569,0
1.08174,3.334,1.753,3.214,3.627,1.313,1.076,3.622,2.599,1.081,1.022,1
1.08179,4.735,3.245,2.109,1.383,4.977,3.612,3.813,2.121,1.896,2.337,1
1.08184,2.411,4.191,2.34,2.556,2.779,4.737,2.059,3.666,1.558,3.107,0
1.08191,1.782,4.427,1.789,4.345,3.545,2.547,4.702,2.244,3.845,3.206,0
1.08189,2.386,1.766,2.484,4.795,1.818,3.627,3.524,1.601,2.352,1.095,0
1.0819,4.529,1.632,2.393,2.037,4.192,4.326,3.158,2.957,0.947,4.534,1
1.08195,2.185,3.754,3.511,2.047,4.541,4.773,0.605,3.348,2.611,2.128,0
1.08198,2.592,1.922,3.519,3.225,4.867,4.894,4.967,2.278,4.229,3.425,0
1.08192,0.799,2.58,2.306,3.452,1.481,4.954,1.442,2.165,1.143,2.276,0
1.0817,3.838,0.876,1.251,3.42,3.304,3.839,1.64,4.151,3.789,3.992,1
1.08175,0.571,4.369,4.75,4.531,0.609,2.08,2.911,2.902,1.001,4.052,1
1.0818,1.857,2.783,1.061,3.055,1.084,0.898,2.805,1.823,3.999,1.61,0
1.08179,1.479,2.533,3.012,2.567,4.328,0.97,4.325,1.197,4.866,2.862,1
1.0818,2.329,3.255,4.387,4.837,2.36,0.548,1.192,4.183,3.805,3.707,1
1.08184,0.628,0.996,1.853,4.848,3.394,4.315,0.707,2.373,0.853,1.674,0
1.08191,1.003,4.635,1.98,2.7,3.443,4.49,4.759,3.056,2.754,4.567,0
1.08186,3.827,1.662,2.155,2.432,2.646,2.113,2.437,2.529,0.723,4.26,0
1.0819,0.778,2.875,2.964,2.299,1.502,0.946,2.174,1.915,2.678,1.536,0
1.0819,0.54,2.33,4.848,0.532,3.17,4.824,2.145,3.191,2.16,1.855,0
1.08182,3.241,3.152,1.918,2.739,2.823,3.892,0.739,0.918,1.634,1.716,0
1.08184,4.37,2.31,1.786,3.56,0.885,4.928,4.242,1.977,1.928,4.187,0
1.08178,4.047,3.39,0.755,3.936,0.716,3.311,2.984,4.673,3.374,0.601,0
1.08188,3.109,0.525,3.816,2.383,3.558,4.927,4.625,0.837,4.016,2.482,0
1.08183,3.882,2.2,2.515,2.466,1.031,1.94,3.806,0.822,1.021,4.253,0
1.08179,1.01,1.033,1.895,4.792,3.021,4.65,1.45,2.367,2.913,4.277,0
1.08172,1.055,4.432,2.626,0.641,2.444,2.199,3.535,4.677,2.721,3.603,0
1.08164,0.974,3.841,1.249,3.136,1.41,2.058,1.237,2.074,3.161,2.84,1
1.08171,2.249,3.084,4.29,2.112,3.127,2.662,4.913,1.976,3.638,1.551,0
1.0817,3.087,1.657,0.789,4.212,2.199,3.724,2.447,3.279,3.018,4.891,0
1.08181,4.593,2.551,2.691,1.541,3.889,0.96,1.879,4.313,0.658,3.643,0
1.08173,1.999,1.182,4.779,3.941,4.126,0.94,4.028,1.483,1.397,2.907,0
1.0817,3.244,1.044,3.942,3.121,4.547,4.658,3.602,2.138,4.78,3.734,0
1.08166,3.771,1.691,1.621,0.591,2.917,1.641,1.819,1.638,1.092,2.682,1
1.08179,1.727,1.783,1.749,2.791,4.432,1.22,4.368,4.346,3.242,2.947,0
1.08178,3.47,4.637,3.988,1.669,0.744,4.715,2.132,4.043,1.55,2.538,0
1.0817,2.167,3.782,4.746,2.775,3.047,2.069,1.545,4.774,0.996,4.732,0
1.08169,4.558,0.959,3.044,1.039,4.95,1.892,4.425,0.776,3.499,0.805,0
1.08167,0.634,3.069,4.923,3.583,4.349,4.032,2.845,0.847,2.871,1.331,0
1.08161,2.745,1.389,3.673,2.378,2.687,0.854,2.691,3.009,4.876,3.027,1
1.0816,1.107,1.851,2.01,3.659,4.725,4.892,4.775,4.664,4.364,4.707,1
1.08167,3.158,3.586,3.257,3.259,4.7,0.889,2.837,4.818,0.643,1.003,1
1.08168,4.411,4.807,0.608,0.644,4.234,3.598,2.839,3.11,3.908,4.135,1
1.0817,4.074,4.889,4.25,2.334,2.01,2.06,0.567,3.966,1.68,3.135,1
1.0817,2.868,2.009,3.537,2.547,1.555,4.468,1.291,1.175,1.64,2.655,1
1.08172,1.572,3.445,1.671,2.852,1.647,4.447,1.33,1.545,1.857,1.983,0
1.08166,3.769,3.534,4.056,2.93,0.854,3.936,1.6,1.48,2.365,4.954,1
1.08162,4.6,4.957,2.242,1.11,4.053,4.02,2.022,4.057,2.208,1.792,1
1.08166,3.17,3.837,2.641,4.183,0.562,2.745,2.212,0.793,4.615,1.146,1
1.0817,4.822,4.692,2.039,4.688,1.138,3.715,4.755,1.367,1.111,3.552,0
1.08183,4.471,3.769,4.772,2.542,2.175,1.041,1.729,4.725,0.822,1.332,0
1.08181,1.881,1.323,1.053,2.871,2.931,3.055,3.93,2.87,4.762,0.867,0
1.08183,1.503,0.845,1.892,3.923,4.659,2.767,1.221,1.987,3.058,1.825,0
1.08188,2.569,3.214,4.307,2.593,1.359,4.748,4.901,0.61,3.932,2.302,0
1.08171,0.734,1.233,1.279,3.814,1.452,0.588,1.489,4.096,2.746,3.438,1
1.08167,0.568,1.869,0.687,1.673,3.284,2.162,2.628,3.308,1.927,2.105,1
1.08168,4.477,3.114,2.376,2.931,2.572,1.996,4.612,1.55,4.711,4.338,1
1.08171,2.79,4.93,1.799,1.269,3.755,1.558,3.126,1.209,4.764,1.778,0
1.08168,0.936,3.593,2.062,3.017,2.738,4.652,2.814,2.205,0.507,2.734,0
1.08167,3.343,2.58,0.905,2.739,2.668,3.386,4.866,1.761,2.492,0.881,0
1.08175,4.1,1.555,4.231,4.091,1.646,4.563,2.768,2.418,2.998,4.756,0
1.08168,1.808,4.285,2.764,2.041,1.384,1.468,4.254,4.116,4.904,4.627,0
1.08169,3.583,4.088,3.702,4.143,4.106,1.293,4.166,1.865,1.598,4.638,0
1.08176,2.044,4.063,3.247,4.6,4.696,3.399,0.79,3.502,0.992,4.92,0
1.08177,4.421,1.898,1.337,3.624,3.911,4.933,3.303,1.064,3.77,0.764,0
1.08185,4.034,4.431,3.061,4.745,3.376,2.714,2.23,2.09,0.603,1.225,0
1.08177,4.08,1.529,3.441,3.989,3.625,2.821,1.922,1.728,1.343,3.415,0
1.08171,1.988,4.672,4.602,1.807,4.784,3.287,4.831,3.984,2.0,1.757,0
1.08156,2.851,2.695,0.659,4.381,2.91,2.629,3.851,1.624,1.397,3.114,0
1.08157,0.815,0.735,2.099,2.871,4.77,3.378,2.365,2.33,1.559,2.633,0
1.08162,4.816,1.049,2.448,3.585,3.931,2.998,3.385,4.723,4.561,1.63,0
1.08141,2.875,1.352,3.947,0.756,1.176,2.981,1.727,3.738,3.771,1.937,1
1.08135,3.951,3.415,3.677,2.555,2.446,0.98,2.637,4.796,4.498,0.752,1
1.0814,3.625,2.469,1.075,2.415,3.079,3.849,2.314,3.423,3.566,3.271,0
1.08142,0.709,3.697,1.079,0.746,2.631,0.576,0.828,2.259,2.609,0.975,1
1.08154,2.69,3.145,1.92,4.926,1.04,1.869,1.494,4.396,2.79,2.347,0
1.0815,2.295,4.492,1.658,4.061,3.686,2.518,2.146,2.466,2.539,1.92,0
1.08146,1.867,3.977,2.548,2.631,4.458,2.546,2.192,4.541,4.894,4.036,1
1.08141,2.306,3.52,3.834,1.833,3.758,4.774,3.451,3.51,2.458,3.44,1
1.08143,2.926,4.91,2.038,3.703,0.575,2.373,3.949,1.668,3.261,1.494,1
1.08154,2.293,4.972,1.385,4.607,0.769,3.123,4.196,4.268,2.261,3.157,0
1.08151,3.86,3.105,1.632,3.673,3.026,2.949,4.942,1.114,4.013,1.961,1
1.0814,3.77,4.777,1.735,3.052,2.877,2.728,1.252,3.315,4.521,3.485,1
1.08138,2.39,1.153,3.226,2.572,2.884,4.96,3.063,4.791,2.087,3.915,1
1.08149,0.839,1.852,3.614,3.606,4.228,2.211,1.731,2.113,2.918,0.609,0
1.08142,1.169,1.9,4.427,4.701,1.624,1.301,1.03,0.886,4.073,3.825,1
1.08149,1.69,2.701,3.629,0.626,4.185,4.368,1.451,3.666,3.647,2.017,1
1.08152,2.633,1.912,2.488,4.155,3.065,3.242,4.942,1.505,1.502,3.289,1
1.08149,1.176,4.839,2.036,2.48,2.44,4.224,4.619,3.547,1.271,2.098,1
1.08148,4.472,4.425,1.519,2.139,1.529,3.734,0.712,3.631,0.782,4.285,0
1.08144,2.945,3.124,0.928,0.699,2.089,4.931,3.2,4.38,0.782,0.958,0
1.08153,1.294,1.727,3.502,3.63,1.951,2.604,1.801,3.026,2.101,2.12,0
1.08155,1.62,1.815,1.674,0.573,1.897,3.164,1.709,1.008,4.307,2.611,0
1.08149,4.492,3.893,3.302,3.467,3.616,2.752,2.359,2.255,2.769,2.609,1
1.08149,2.88,2.899,4.049,4.517,1.508,0.6,1.855,0.643,4.084,3.292,1
1.08148,4.409,4.263,3.576,3.613,3.85,2.546,2.288,2.988,4.462,4.961,0
1.08152,4.626,4.259,0.835,1.611,4.87,2.946,2.817,1.894,4.379,2.826,0
1.08155,4.97,0.56,1.167,2.253,3.378,0.998,3.031,4.727,2.46,3.931,1
1.08154,3.164,3.121,1.279,2.588,4.552,3.534,1.476,2.511,2.946,2.015,1
1.08146,0.58,1.49,3.455,1.465,0.828,3.929,2.002,4.81,3.014,0.956,1
1.08142,3.366,1.68,4.165,3.759,3.913,0.757,0.654,4.09,1.132,1.408,1
1.08146,2.631,4.811,1.946,1.667,4.226,1.33,3.358,3.268,4.709,0.697,1
1.08146,3.034,2.223,4.206,1.635,3.717,1.334,2.728,4.858,1.58,1.755,1
1.08155,0.797,1.339,1.567,1.805,4.301,3.652,4.909,3.514,3.325,2.224,1
1.0815,3.728,2.721,0.765,2.714,2.228,2.889,0.719,0.626,4.923,2.171,1
1.08148,3.166,4.616,1.312,2.751,2.749,3.946,3.043,1.575,1.353,3.761,1
1.08152,0.852,4.391,0.651,1.353,2.605,4.298,3.288,3.856,3.925,3.751,1
1.08163,1.165,1.23,0.669,0.628,4.446,2.214,0.889,0.71,4.309,3.207,1
1.08167,4.623,0.668,1.007,1.79,1.36,1.005,1.402,3.382,1.256,1.259,0
1.08161,1.173,3.057,2.786,2.246,2.634,0.679,3.268,1.37,2.011,0.542,0
1.08159,4.495,3.144,2.265,2.938,4.729,1.094,2.225,3.686,2.174,3.681,0
1.08161,1.78,1.818,3.876,4.029,3.648,4.661,1.336,2.27,4.338,3.945,0
1.0816,1.007,4.909,3.832,4.397,2.129,3.225,4.814,4.541,3.097,4.505,0
1.08172,3.451,4.822,1.147,2.317,3.038,1.092,4.013,0.78,3.329,1.759,0
1.08172,1.953,3.231,1.361,2.514,4.357,4.941,1.682,2.145,3.622,1.354,0
1.08175,3.005,2.027,0.505,0.505,0.509,1.977,1.738,4.961,3.369,0.794,0
1.08171,3.722,1.546,2.667,3.752,4.355,4.709,2.394,1.93,2.289,1.907,0
1.08171,3.585,1.184,4.023,4.85,1.414,3.275,1.229,0.659,2.363,1.325,0
1.08164,3.788,3.076,3.535,4.856,0.762,0.943,0.661,2.567,4.21,3.577,0
1.08151,2.175,1.008,3.387,0.615,1.532,0.634,1.227,0.788,2.892,1.076,0
1.08148,3.215,4.209,2.05,1.042,3.52,3.778,4.478,2.993,3.119,4.384,0
1.0814,1.791,3.985,3.348,2.608,0.548,2.644,1.685,3.207,2.793,2.797,0
1.08124,0.764,1.092,3.231,3.569,4.957,4.067,1.805,2.551,2.776,4.118,1
1.08113,2.678,2.291,2.659,2.108,4.998,0.709,2.298,0.857,3.551,1.178,1
1.08122,1.171,2.405,3.209,3.936,2.5,1.828,2.155,4.498,1.46,0.551,1
1.08127,1.095,1.112,4.507,3.871,0.79,3.538,1.462,2.507,3.223,0.729,1
1.08122,4.71,2.008,1.148,4.011,0.991,0.667,3.434,2.615,4.553,4.058,1
1.08123,3.215,2.617,1.855,4.626,1.438,3.395,0.831,4.656,4.769,3.281,1
1.08125,1.942,3.758,4.566,4.077,0.683,2.768,1.13,2.959,4.775,4.392,1
1.08125,1.928,1.258,3.847,3.917,2.015,2.391,3.634,3.774,2.586,1.032,1
1.08133,0.93,1.263,4.219,2.733,3.4,2.14,2.16,1.292,4.886,3.225,1
1.0814,3.191,3.26,3.965,3.238,4.444,4.864,2.33,3.418,2.185,2.348,1
1.08147,2.148,3.413,2.086,2.084,4.311,4.099,3.543,4.296,2.237,3.392,1
1.08147,0.953,4.093,4.646,1.862,2.202,1.027,1.14,3.372,4.514,0.878,1
1.08153,1.646,3.916,1.516,4.45,2.088,2.63,1.407,1.808,2.41,1.752,1
1.08153,3.375,4.112,1.968,1.362,1.04,0.848,4.065,3.214,0.568,2.54,1
1.08151,3.194,1.937,0.657,2.394,2.091,4.875,2.119,4.651,4.406,3.085,1
1.08159,0.906,3.007,0.938,0.917,2.347,1.203,4.964,3.101,4.537,4.804,1
1.08168,3.911,3.406,2.628,4.0,3.512,1.211,2.885,2.361,2.82,3.709,0
